Generation,Best Weight
31,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
32,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
33,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
34,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
35,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
36,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
37,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
38,010011010100011100100111101110001100100111011100111001110111100110001110111111110101010001100100010001000100000000101000101011100110110010001010011111010110101100010011110000011100111111011110011011100011001111101110101100101111101110000000100101111000001001001011110000011000101001111110100000010111100001100001000011101011000010110111110110000000101001011011011000101011110001111101101111111001110111011000010110000000101000010100001000110001001011110110001001011010011111000101011001110010101000010000011001001001001110000001000101111101101000010110111000111111011100000001101010100010100011010001111101100101010010110000100011101000101100000111001011000011111001100111010000010100100100110010010011110000010100101111010010111001011110111001110001101000001000101001000001100001001001000010010110000010011010011111000000010111111101000010111100010100010000000100011101011110011001111110010100101110010000101010101011101100110101110111110111001100110111111011
39,001011010100011000100000101110001100110000111110111001011111100100000110111011110101011111100101010011000100010111101000100010000100110010000011011111010110101000110101110011101100101111011100001010011011001110100111011100101111110100001000111001111001001001001011110001001000101100110110100000000111110000100000110001101001000010111001010110100010111111111001010000100111000001111101001010111111010111011011000110010000101000011100001000110001101011110110000011011011011111000101011011110110101010010001011001111001001110010001100101101001101010010111111000111111011000000101101010111010100011000101111101001101010010110000110111011001100111001110001111000101000000000111010100010111000100101010110001100110010100100011010011111000010100111101110000111010000100111101000001101001001101000001110010100000011010111110100000011000111001001000101110000101000110100100011101011110111000111110110010001100100100101000011011101110100101110110100111011110011011111010
40,011011001100011010100101100110100000100001011100111001001111100000000110111111101111111011101100010001000100000111100100100111100010110000010001011111000110101101010111110010000100111011010110011010111110011111101101011110011111101000000000111101001100001111001010110001101011101100111110100000010110100001100000010100101101000010111101110110100010101101101011011100001011010001111101001111111101110111011000110110000000101000010101001000100011101011110110010001011010011110000001011011110110101000010101011001011001001110010101000101111001111000010010111000111111011000110001101011000001000001100110111101101101010000110010110011111001100110000100001011100001000000100101010000010111100000000010010001100000110100000011000010111001011111111001110000111001001100101001000011101001101111100000010010000110011010111110100000010110101010000000101110011110000000100101011101111110011001111110010000101110110000001000111000101100100000110111110111011110011111100100
